o,p,c,counts.all_mostly_true_rep (s=0.5),counts.all_mostly_true_rep (s=0.25),counts.all_mostly_true_rep (s=0.0),counts.all_totally_true_rep (s=0.5),counts.all_totally_true_rep (s=0.25),counts.all_totally_true_rep (s=0.0),counts.inspecting_s0 (s=0.5),counts.inspecting_s0 (s=0.25),counts.inspecting_s0 (s=0.0),counts.inspecting_s1 (s=0.5),counts.inspecting_s1 (s=0.25),counts.inspecting_s1 (s=0.0),counts.self_deception_s0 (s=0.5),counts.self_deception_s0 (s=0.25),counts.self_deception_s0 (s=0.0),counts.self_deception_s1 (s=0.5),counts.self_deception_s1 (s=0.25),counts.self_deception_s1 (s=0.0),counts.conscious_deception_s1 (s=0.5),counts.conscious_deception_s1 (s=0.25),counts.conscious_deception_s1 (s=0.0),counts.conscious_deception_s1_a3_correct (s=0.5),counts.conscious_deception_s1_a3_correct (s=0.25),counts.conscious_deception_s1_a3_correct (s=0.0),counts.conscious_deception_s1_a3_correct_self (s=0.5),counts.conscious_deception_s1_a3_correct_self (s=0.25),counts.conscious_deception_s1_a3_correct_self (s=0.0),counts.whole_deception_s1 (s=0.5),counts.whole_deception_s1 (s=0.25),counts.whole_deception_s1 (s=0.0),counts.whole_deception_s1_a3 (s=0.5),counts.whole_deception_s1_a3 (s=0.25),counts.whole_deception_s1_a3 (s=0.0),counts.whole_deception_s1_fromConscious (s=0.5),counts.whole_deception_s1_fromConscious (s=0.25),counts.whole_deception_s1_fromConscious (s=0.0),counts.whole_deception_s1_fromSelf (s=0.5),counts.whole_deception_s1_fromSelf (s=0.25),counts.whole_deception_s1_fromSelf (s=0.0),counts.whole_deception_s1_fromBoth (s=0.5),counts.whole_deception_s1_fromBoth (s=0.25),counts.whole_deception_s1_fromBoth (s=0.0),counts.whole_deception_s1_fromNeither (s=0.5),counts.whole_deception_s1_fromNeither (s=0.25),counts.whole_deception_s1_fromNeither (s=0.0)
1.0,0.5,0.6,217,,,108,,,1,,,11,,,327,,,484,,,766,,,4,,,1,,,825,,,33,,,540,,,93,,,426,,,85,,
1.0,0.5,0.5,218,,,116,,,12,,,91,,,341,,,483,,,762,,,41,,,2,,,834,,,141,,,552,,,112,,,423,,,89,,
1.0,0.5,0.4,250,116,,126,5,,67,95,,256,111,,318,382,,470,744,,762,708,,124,120,,9,10,,848,805,,288,147,,561,352,,126,81,,406,640,,110,120,
1.0,0.5,0.3,269,119,,119,2,,225,280,,429,270,,355,414,,520,756,,806,724,,232,258,,28,13,,847,817,,430,324,,570,326,,117,95,,467,649,,82,111,
1.0,0.5,0.2,258,93,,76,2,,451,415,,588,476,,380,418,,563,729,,813,738,,391,359,,35,25,,865,832,,578,443,,573,362,,141,103,,509,645,,113,136,
1.0,0.5,0.1,274,96,,65,0,,622,624,,749,664,,420,466,,586,775,,836,800,,504,503,,55,34,,888,861,,682,573,,537,375,,142,131,,545,707,,114,99,
1.0,0.5,0.0,286,67,,48,0,,763,743,,827,800,,442,476,,608,736,,858,828,,596,635,,58,47,,903,872,,743,688,,546,412,,168,139,,573,671,,111,100,
1.0,0.4,0.6,191,,,94,,,1,,,4,,,341,,,477,,,755,,,2,,,0,,,819,,,9,,,532,,,108,,,413,,,77,,
1.0,0.4,0.5,175,,,91,,,2,,,43,,,311,,,469,,,767,,,19,,,2,,,839,,,69,,,565,,,103,,,418,,,89,,
1.0,0.4,0.4,194,132,,90,5,,45,55,,173,87,,356,403,,489,750,,771,731,,88,105,,10,10,,853,822,,211,136,,530,331,,106,89,,445,658,,107,106,
1.0,0.4,0.3,219,118,,103,3,,152,177,,329,196,,350,425,,486,740,,779,711,,192,204,,17,20,,844,803,,387,268,,557,295,,118,91,,434,641,,96,116,
1.0,0.4,0.2,244,104,,101,1,,310,354,,547,405,,356,429,,512,751,,792,740,,325,366,,30,39,,848,824,,539,447,,563,339,,138,99,,456,652,,99,110,
1.0,0.4,0.1,223,93,,80,1,,542,573,,694,631,,386,472,,534,741,,814,738,,444,493,,46,43,,876,825,,665,578,,566,314,,152,124,,480,649,,124,113,
1.0,0.4,0.0,121,77,,57,0,,430,662,,866,777,,429,455,,548,748,,828,799,,565,640,,78,54,,879,881,,842,730,,549,394,,166,150,,509,683,,96,144,
1.0,0.3,0.6,177,,,75,,,1,,,1,,,314,,,462,,,759,,,0,,,0,,,830,,,2,,,574,,,114,,,390,,,95,,
1.0,0.3,0.5,181,,,93,,,2,,,24,,,331,,,475,,,758,,,11,,,2,,,833,,,53,,,549,,,125,,,421,,,116,,
1.0,0.3,0.4,212,138,,99,6,,25,38,,111,50,,351,391,,500,754,,767,692,,63,75,,13,14,,829,788,,176,99,,548,312,,134,90,,444,636,,80,109,
1.0,0.3,0.3,207,115,,96,3,,70,122,,283,184,,349,413,,476,752,,774,711,,175,196,,24,27,,858,798,,359,253,,549,327,,121,100,,426,639,,117,110,
1.0,0.3,0.2,189,99,,86,4,,222,276,,447,372,,353,403,,480,745,,799,742,,291,352,,38,50,,860,846,,510,454,,582,337,,118,118,,438,677,,92,136,
1.0,0.3,0.1,199,114,,80,0,,423,486,,659,593,,362,463,,521,758,,791,755,,423,532,,45,52,,851,834,,664,613,,547,323,,139,103,,462,683,,114,113,
1.0,0.3,0.0,214,99,,85,2,,582,624,,823,789,,413,491,,532,776,,836,802,,562,666,,69,72,,899,865,,805,748,,568,349,,165,147,,491,709,,111,103,
1.0,0.2,0.6,164,,,81,,,0,,,0,,,335,,,472,,,775,,,0,,,0,,,855,,,1,,,558,,,129,,,423,,,107,,
1.0,0.2,0.5,161,,,76,,,1,,,4,,,342,,,462,,,777,,,5,,,0,,,857,,,11,,,569,,,131,,,429,,,108,,
1.0,0.2,0.4,160,107,,77,11,,13,26,,62,20,,348,365,,489,720,,773,703,,44,43,,4,8,,840,799,,124,65,,548,324,,132,83,,434,628,,87,116,
