s,p,c,counts.all_mostly_true_rep (o=1.0),counts.all_mostly_true_rep (o=0.9),counts.all_mostly_true_rep (o=0.75),counts.all_totally_true_rep (o=1.0),counts.all_totally_true_rep (o=0.9),counts.all_totally_true_rep (o=0.75),counts.inspecting_s0 (o=1.0),counts.inspecting_s0 (o=0.9),counts.inspecting_s0 (o=0.75),counts.inspecting_s1 (o=1.0),counts.inspecting_s1 (o=0.9),counts.inspecting_s1 (o=0.75),counts.self_deception_s0 (o=1.0),counts.self_deception_s0 (o=0.9),counts.self_deception_s0 (o=0.75),counts.self_deception_s1 (o=1.0),counts.self_deception_s1 (o=0.9),counts.self_deception_s1 (o=0.75),counts.conscious_deception_s1 (o=1.0),counts.conscious_deception_s1 (o=0.9),counts.conscious_deception_s1 (o=0.75),counts.conscious_deception_s1_a3_correct (o=1.0),counts.conscious_deception_s1_a3_correct (o=0.9),counts.conscious_deception_s1_a3_correct (o=0.75),counts.conscious_deception_s1_a3_correct_self (o=1.0),counts.conscious_deception_s1_a3_correct_self (o=0.9),counts.conscious_deception_s1_a3_correct_self (o=0.75),counts.whole_deception_s1 (o=1.0),counts.whole_deception_s1 (o=0.9),counts.whole_deception_s1 (o=0.75),counts.whole_deception_s1_a3 (o=1.0),counts.whole_deception_s1_a3 (o=0.9),counts.whole_deception_s1_a3 (o=0.75),counts.whole_deception_s1_fromConscious (o=1.0),counts.whole_deception_s1_fromConscious (o=0.9),counts.whole_deception_s1_fromConscious (o=0.75),counts.whole_deception_s1_fromSelf (o=1.0),counts.whole_deception_s1_fromSelf (o=0.9),counts.whole_deception_s1_fromSelf (o=0.75),counts.whole_deception_s1_fromBoth (o=1.0),counts.whole_deception_s1_fromBoth (o=0.9),counts.whole_deception_s1_fromBoth (o=0.75),counts.whole_deception_s1_fromNeither (o=1.0),counts.whole_deception_s1_fromNeither (o=0.9),counts.whole_deception_s1_fromNeither (o=0.75)
0.5,0.5,0.4,250,696,992,126,433,936,67,165,280,256,641,957,318,250,43,470,414,63,762,835,961,124,210,49,9,7,0,848,873,963,288,655,948,561,686,951,126,75,5,406,377,60,110,62,5
0.5,0.5,0.3,269,707,996,119,399,936,225,447,589,429,793,998,355,312,46,520,465,63,806,848,980,232,322,55,28,14,0,847,876,981,430,741,980,570,670,977,117,76,8,467,415,59,82,59,10
0.5,0.5,0.2,258,733,995,76,398,936,451,724,873,588,903,999,380,352,56,563,497,64,813,872,989,391,395,58,35,17,2,865,904,990,578,845,989,573,682,982,141,91,9,509,460,62,113,95,10
0.5,0.5,0.1,274,721,993,65,347,908,622,883,969,749,954,999,420,426,79,586,543,88,836,911,985,504,488,80,55,19,1,888,938,987,682,896,986,537,687,972,142,106,10,545,507,86,114,85,26
0.5,0.5,0.0,286,738,998,48,272,912,763,942,998,827,979,1000,442,492,83,608,636,85,858,931,999,596,614,87,58,34,0,903,945,999,743,921,999,546,675,986,168,127,11,573,611,88,111,93,10
0.5,0.4,0.6,191,,991,94,,926,1,,0,4,,30,341,,41,477,,64,755,,940,2,,2,0,,0,819,,941,9,,91,532,,930,108,,4,413,,64,77,,2
0.5,0.4,0.5,175,,989,91,,913,2,,14,43,,300,311,,55,469,,78,767,,944,19,,22,2,,0,839,,944,69,,544,565,,935,103,,4,418,,80,89,,2
0.5,0.4,0.4,194,676,991,90,409,927,45,79,128,173,488,847,356,272,48,489,429,61,771,820,961,88,161,49,10,5,1,853,864,962,211,564,924,530,652,951,106,81,7,445,388,64,107,68,2
0.5,0.4,0.3,219,732,993,103,447,942,152,310,391,329,760,977,350,304,45,486,442,58,779,827,964,192,260,45,17,15,0,844,854,966,387,726,955,557,641,958,118,85,6,434,386,55,96,54,6
0.5,0.4,0.2,244,696,991,101,416,923,310,585,691,547,871,998,356,335,63,512,457,74,792,863,974,325,340,67,30,16,0,848,889,975,539,815,974,563,685,959,138,100,8,456,407,71,99,76,7
0.5,0.4,0.1,223,732,991,80,367,940,542,809,879,694,936,1000,386,402,53,534,514,58,814,896,983,444,443,49,46,23,0,876,923,984,665,886,983,566,681,976,152,120,11,480,482,57,124,86,14
0.5,0.4,0.0,121,720,996,57,309,909,430,917,971,866,965,1000,429,442,84,548,583,89,828,922,993,565,549,87,78,26,0,879,942,993,842,917,993,549,688,980,166,125,16,509,558,88,96,91,12
0.5,0.3,0.6,177,,982,75,,919,1,,0,1,,6,314,,48,462,,71,759,,926,0,,1,0,,0,830,,929,2,,27,574,,919,114,,7,390,,65,95,,2
